nombre_completo,partido,region,distrito_o_circunscripcion,camara,url_perfil
Carmen Gloria Aravena Acuña,Partido Independiente,Región de La Araucanía,Circunscripción 11,Senador,https://www.senado.cl/senadoras-y-senadores/listado-de-senadoras-y-senadores#
Pedro Araya Guerrero,Partido P.P.D.,Región de Antofagasta,Circunscripción 3,Senador,https://www.senado.cl/senadoras-y-senadores/listado-de-senadoras-y-senadores#
Karim Bianchi Retamales,Partido Independiente,Región de Magallanes y la Antártica Chilena,Circunscripción 15,Senador,https://www.senado.cl/senadoras-y-senadores/listado-de-senadoras-y-senadores#
Fabiola Campillai Rojas,Partido Independiente,Región Metropolitana de Santiago,Circunscripción 7,Senador,https://www.senado.cl/senadoras-y-senadores/listado-de-senadoras-y-senadores#
Loreto Carvajal Ambiado,Partido P.P.D.,Región de Ñuble,Circunscripción 16,Senador,https://www.senado.cl/senadoras-y-senadores/listado-de-senadoras-y-senadores#
Juan Castro Prieto,Partido Social Cristiano,Región del Maule,Circunscripción 9,Senador,https://www.senado.cl/senadoras-y-senadores/listado-de-senadoras-y-senadores#
Juan Luis Castro González,Partido P.S.,Región del Libertador General Bernardo O'Higgins,Circunscripción 8,Senador,https://www.senado.cl/senadoras-y-senadores/listado-de-senadoras-y-senadores#
Francisco Chahuán Chahuán,Partido R.N.,Región de Valparaíso,Circunscripción 6,Senador,https://www.senado.cl/senadoras-y-senadores/listado-de-senadoras-y-senadores#
Juan Antonio Coloma Correa,Partido U.D.I.,Región del Maule,Circunscripción 9,Senador,https://www.senado.cl/senadoras-y-senadores/listado-de-senadoras-y-senadores#
Luciano Cruz-Coke Carvallo,Partido Evópoli,Región Metropolitana de Santiago,Circunscripción 7,Senador,https://www.senado.cl/senadoras-y-senadores/listado-de-senadoras-y-senadores#
Tomás De Rementería Venegas,Partido P.S.,Región de Valparaíso,Circunscripción 6,Senador,https://www.senado.cl/senadoras-y-senadores/listado-de-senadoras-y-senadores#
Alfonso De Urresti Longton,Partido P.S.,Región de Los Ríos,Circunscripción 12,Senador,https://www.senado.cl/senadoras-y-senadores/listado-de-senadoras-y-senadores#
José Miguel  Durana Semir,Partido U.D.I.,Región de Arica y Parinacota,Circunscripción 1,Senador,https://www.senado.cl/senadoras-y-senadores/listado-de-senadoras-y-senadores#
